Title,Opening Date,Theatre ID,Theatre Name (from Show Info),Production Type,Intermissions,Show Type,Show ID,Year,Closing Date,N Performances,Other Titles,Previews Date,Running Time,Official Website,Show Type Simple,Show Never Opened,Run Time,Revival,Pre-Broadway,Limited Run,Repertory
Olympiana,1857-06-13,7337,Olympic Theatre,Original Production,,Musical,312244,1857,1857-08-05,21,,,,,Musical,False,,False,,,
The Poor of New York,1857-12-08,7545,Wallack's Lyceum Theatre,Original Production,,Play,313368,1857,,,,,,,Play,False,,False,,,
The Corsair/The Loan of a Lover,1857-08-10,7545,Wallack's Lyceum Theatre,Original Production,,Musical,322261,1857,1857-08-14,4,,,,,Musical,False,,False,,,
The King of Coney Island,1857-06-30,7337,Olympic Theatre,Original Production,,Musical,322328,1857,,2,,,,,Musical,False,,False,,,
Columbus el Filibustero!!,1857-12-30,5658,Burton's Chamber Street Theatre,Original Production,1.0,Burlesque,4070,1857,,,,,,,Burlesque,False,,False,,True,True
The Elves,1857-03-16,5731,Laura Keene's Varieties,Original Production,1.0,Opera,4385,1857,1857-05-06,50,"The Elves, or, the Statue Bride (full title)",,,,Opera,False,,False,,,
Shylock,1857-06-27,7545,Wallack's Lyceum Theatre,Original Production,1.0,Burlesque,7155,1857,1857-08-17,14,"Shylock, or, the Merchant of Venice Preserved (full title)",,,,Burlesque,False,,False,,True,True
Variety,1857-05-11,5731,Laura Keene's Varieties,Original Production,1.0,Musical,7707,1857,1857-06-27,48,"Variety, or, the Picture Gallery (full title)",,,,Musical,False,,False,,True,True
Young Baccus,1857-01-05,5731,Laura Keene's Varieties,Original Production,1.0,Musical,7967,1857,1857-01-28,,"Young Bacchus, or, Spirits and Water (full title)",,,,Musical,False,,False,,True,True
Medea,1858-12-04,5649,Bowery Theatre,Original Production,1.0,,2,1858,1858-12-04,1,,,,,,False,,False,,,
Jessie Brown,1858-02-22,7545,Wallack's Lyceum Theatre,Original Production,,Play,312276,1858,,,,,,,Play,False,,False,,,
Our American Cousin,1858-10-18,5731,Laura Keene's Varieties,Original Production,,Play,313199,1858,,,,,,,Play,False,,False,,,
The Lyons Mail,1858-02-06,5731,Laura Keene's Varieties,Original Production,,Play,313401,1858,,,,,,,Play,False,,False,,,
Louis XI,1858-09-07,5731,Laura Keene's Varieties,Original Production,,Play,313638,1858,,,,,,,Play,False,,False,,,
The Bohemian Girl,1858-10-06,5658,Burton's Chamber Street Theatre,Revival,1.0,Opera,3630,1858,1858-10-09,4,"The Bohemian Girl, or, the Merry Zingara (full title)",,,,Opera,False,,True,,True,True
Dalilah,1858-06-22,7545,Wallack's Lyceum Theatre,Original Production,1.0,,4162,1858,1858-06-22,1,,,,,,False,,False,,True,True
Les Deux Aveugles,1856-08-26,5735,Metropolitan Music Hall,Original Production,1.0,Musical,4236,1858,,,,,,,Musical,False,,False,,True,True
The Waterman,1858-10-09,,,,1.0,Operetta,7769,1858,,,"The Waterman, or, the First of August (full title)",,,,Musical,False,,,,,
Rob Roy,1859-06-09,7414,Niblo's Garden,Original Production,1.0,Opera,3,1859,1859-06-21,14,,,,,Opera,False,,False,,,
There's a Silver Lining to Every Cloud,1859-12-05,7648,Hope Chapel,Original Production,,Musical,312166,1859,1859-12-31,,,,,,Musical,False,,False,,,
The Octoroon,1859-12-05,7543,Old Winter Garden Theatre,Original Production,,Play,312509,1859,,,,,,,Play,False,,False,,,
Love is Blind/Ne'er too Late to Mind,1859-11-17,7648,Hope Chapel,Original Production,,Musical,322278,1859,1859-12-31,,,,,,Musical,False,,False,,,
The Beggar's Opera,1859-06-08,7414,Niblo's Garden,Original Production,1.0,Operetta,3426,1859,1859-06-10,2,,,,,Musical,False,,False,,True,True
